Contract Name,Service Receiver,Service Name,Origin Company Code,Origin Facility Code,Origin City,Origin State,Destination Company Code,Destination Facility Code,Destination City,Destination State,Vehicle Type,Charge Type,Charges,Charge Uom,Invoice From,Invoice To,Tax Applicable,When To Invoice,Billing Cycle Period,Start Date,End Date,Number Of Invoices In The Period,Payment Mode,Facility Category,Original Customer,Product Category,Profit Center,Business Area,Internal Order Number,Payment Terms,Shipx Error
GLOVIS Anantapur 02-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Dibrugarh,Assam,Container CMVR-18.75 MT,Freight charge,51448,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Carens,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 02-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Guwahati,Assam,Container CMVR-18.75 MT,Freight charge,45447,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Carens,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 02-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Jorhat,Assam,Container CMVR-18.75 MT,Freight charge,45799,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Carens,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Thrissur,Kerala,Container CMVR-18.75 MT,Freight charge,11484,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Todupuzha,Kerala,Container CMVR-18.75 MT,Freight charge,12653,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Trivandrum,Kerala,Container CMVR-18.75 MT,Freight charge,15784,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Vatakara,Kerala,Container CMVR-18.75 MT,Freight charge,14052,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Pondicherry,Puducherry,Container CMVR-18.75 MT,Freight charge,9660,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Chennai,Tamil Nadu,Container CMVR-18.75 MT,Freight charge,6371,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Coimbatore,Tamil Nadu,Container CMVR-18.75 MT,Freight charge,9478,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Erode,Tamil Nadu,Container CMVR-18.75 MT,Freight charge,7987,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Karaikudi,Tamil Nadu,Container CMVR-18.75 MT,Freight charge,10553,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
